"Conventional","Bias-Corrected","Robust","","","Conventional","Bias-Corrected","Robust","",""
1,0,1,1,1,0.197803022522142,0.197803022522142,0.244808537020525,0.305983857119008,0.248625530399271
0,0,0,0,0,0.179389850444901,0.179389850444901,0.209800146253638,0.275101816369798,0.230317982674423
1,1,1,1,1,0.182263712232659,0.182263712232659,0.207979865645418,0.229014294984704,0.228220393354175
1,1,1,1,1,0.205312992130654,0.205312992130654,0.257593595643041,0.26997796892985,0.155110890777063
1,1,1,1,1,0.153201342358174,0.153201342358174,0.184858177140637,0.198503672097104,0.215056268414469
0,0,0,1,1,0.17597905053938,0.17597905053938,0.206816119644895,0.255112696336927,0.246242204557989
1,1,1,1,1,0.193963367252889,0.193963367252889,0.237596618400223,0.271532595583652,0.245916094872224
1,1,1,1,1,0.187624059208631,0.187624059208631,0.222794005171075,0.392347782854034,0.264124356396669
1,1,1,1,1,0.200352651190822,0.200352651190822,0.228667886904203,0.24969634115381,0.224283324381614
1,1,1,1,1,0.252282380563673,0.252282380563673,0.289207340585717,0.321081840776241,0.248753258026256
1,1,1,1,1,0.200755097241288,0.200755097241288,0.218089066428343,0.230667972069377,0.267483274917514
1,1,1,1,1,0.200017500497155,0.200017500497155,0.226485860676856,0.269993398409116,0.23397793043956
1,1,1,1,1,0.202764117561143,0.202764117561143,0.244687260631263,0.266344550806893,0.259798903637261
0,0,1,1,1,0.215252818693544,0.215252818693544,0.263386641457126,0.399260957430597,0.29148690770208
1,1,1,1,1,0.21961032181583,0.21961032181583,0.269246802954658,0.26262094264174,0.24102518415075
1,1,1,1,1,0.23432844864997,0.23432844864997,0.285022138091462,0.359458507050586,0.298718824481563
1,1,1,1,1,0.180066140411049,0.180066140411049,0.217859214958883,0.25246305383164,0.26225381848241
1,1,1,1,1,0.205367296718453,0.205367296718453,0.239787781115548,0.337558920062644,0.192620280775951
0,0,0,1,0,0.196805019326366,0.196805019326366,0.238702407867507,0.341666789668449,0.240878191489852
1,1,1,1,1,0.194214826508117,0.194214826508117,0.226461464168926,0.214825191433204,0.249729194858944
1,1,1,1,1,0.17724356320041,0.17724356320041,0.212579520160421,0.270024351605288,0.220997778071078
1,1,1,1,1,0.197857659752044,0.197857659752044,0.240706014880406,0.278716714732233,0.228739354276078
0,0,0,1,0,0.16479942603453,0.16479942603453,0.193541959933069,0.249722335975877,0.204974839448999
1,1,1,1,1,0.261873262673302,0.261873262673302,0.322164328700698,0.367751932025268,0.296815499711969
1,1,1,1,1,0.247437932552715,0.247437932552715,0.27904232492737,0.262138870057584,0.283519800494554
1,1,1,1,1,0.223583861905406,0.223583861905406,0.258133996559711,0.268532678659169,0.255248746568018
1,1,1,1,1,0.236120921315542,0.236120921315542,0.273657464340824,0.2493334667144,0.141025897983199
1,1,1,1,1,0.215598245311992,0.215598245311992,0.266351048649555,0.292329724819062,0.145207407153371
1,1,1,1,1,0.190510722393205,0.190510722393205,0.21886951695263,0.266255381529818,0.163373761202779
1,1,1,1,1,0.210389315422525,0.210389315422525,0.257035128369275,0.315420767225731,0.284651932332796
1,1,1,1,1,0.171371284361457,0.171371284361457,0.198218857371937,0.230449175670724,0.20186244539123
1,1,1,1,1,0.201545161293394,0.201545161293394,0.237946894760919,0.291544916693665,0.257142304601392
1,0,1,1,1,0.235777425817616,0.235777425817616,0.276388996911867,0.312099110326825,0.249770499369981
1,1,1,1,1,0.209955151224466,0.209955151224466,0.254073878076571,0.300543465385549,0.291424140076234
