"Conventional","Bias-Corrected","Robust","","","","Conventional","Bias-Corrected","Robust","","",""
1,1,1,1,1,1,0.882395182222276,0.882395182222276,1.02104535269058,1.02753930494719,0.842528134511856,0.985164293700355
1,1,1,1,1,1,0.991330003039397,0.991330003039397,1.18734591201873,1.66084542598742,0.976976483461462,1.18745888948203
1,1,1,1,1,1,0.689479548553722,0.689479548553722,0.780345587571983,1.01003959562402,0.67701391411488,0.764095169242585
0,0,1,1,0,1,0.77557867510855,0.77557867510855,0.915929549048684,1.11172911345658,0.827290522656755,0.985074401968022
1,1,1,1,1,1,0.743838261547643,0.743838261547643,0.842098048049093,1.1581869861613,0.754536185509792,0.901141913408897
1,1,1,1,1,1,0.678250466329185,0.678250466329185,0.755451222352594,0.938092908941321,0.768599845036669,0.909250344154104
1,1,1,1,0,1,0.933189877467175,0.933189877467175,1.07915665925718,1.5785540677062,0.90745857259777,1.12762910585791
0,0,0,1,1,1,1.18341729881108,1.18341729881108,1.35081778710349,1.5432677551918,1.00650710237052,1.17758222822187
1,1,1,1,1,1,0.820208217599595,0.820208217599595,0.970974682304851,1.15585297217153,0.905914456757924,1.04627321631287
1,1,1,1,1,1,0.713420725305487,0.713420725305487,0.824691557576101,1.1322803312963,0.76407984072887,0.868597850459892
1,1,1,1,0,1,0.920738320263576,0.920738320263576,1.08409512663592,1.04760762213033,0.805101512451239,0.936689614391072
0,0,0,0,0,0,0.709324332715094,0.709324332715094,0.81821640068776,0.950141625403336,0.724101454917174,0.804686608071406
1,1,1,1,1,1,0.755387015383659,0.755387015383659,0.899943703146394,1.164840591219,0.838212255984274,1.0008858228944
1,1,1,1,1,1,0.797648780307132,0.797648780307132,0.939260148291614,1.2692902082357,0.697765544735841,0.846829450361312
1,1,1,1,1,1,1.13515185068044,1.13515185068044,1.31298616434292,1.59292355870679,1.11554366094401,1.34760273046194
1,1,1,1,1,1,0.683264740255035,0.683264740255035,0.742831160156762,0.922168232055532,0.722485367938019,0.822125569333222
1,1,1,1,0,1,0.866792024535936,0.866792024535936,1.00180946128024,1.0154606102645,0.930923274770172,1.13100431635942
1,1,1,1,0,1,0.788450151614913,0.788450151614913,0.905342175069271,1.02609394650075,0.758357779617162,0.877931464503628
1,1,1,1,1,1,0.727183561239702,0.727183561239702,0.821108977474865,0.940614172298568,0.708694789883646,0.818742694530135
1,1,1,1,1,1,0.69430924703074,0.694309247030739,0.835208327691231,1.00982267135456,0.73063107994634,0.869791053511746
1,1,1,1,1,1,0.683682944601959,0.683682944601959,0.790409314030019,0.872834965743952,0.669194591097413,0.772291269859343
1,1,1,1,0,1,0.775354148348737,0.775354148348737,0.95604141030164,1.25014218940725,0.75506058755029,0.912055998877001
1,1,1,1,0,1,0.878166641500221,0.878166641500221,0.969426436236824,1.44589679085518,0.798435477693603,0.995692952424622
1,1,1,1,1,1,0.993509011604054,0.993509011604055,1.09241676575342,1.15146059629261,0.972358132141709,1.12761415676917
1,1,1,1,1,1,0.780825029932561,0.780825029932562,0.879957549860298,1.1519211224489,0.796322201175103,0.946895650694916
0,1,1,1,0,1,0.710308266700336,0.710308266700336,0.832541089410765,1.04381973968687,0.675059582405029,0.7766741115796
1,1,1,1,1,1,0.658641570434432,0.658641570434432,0.756909971508147,1.08031826471092,0.659412113568017,0.784594220911204
1,1,1,1,1,1,0.661672571979039,0.661672571979039,0.783348629352147,1.10314437767634,0.733846484971826,0.854358907194656
1,1,1,1,0,1,0.780077549584838,0.780077549584838,0.886408849231199,0.980477842566724,0.748242176050051,0.858429738989829
1,1,1,1,1,1,0.851215229624274,0.851215229624274,0.963832095577523,1.18862602720431,0.825620226934882,0.953762967485388
1,1,1,1,1,1,1.02237978874187,1.02237978874187,1.16497416868737,1.5470409277772,0.850117715271534,1.09020967973646
1,1,1,1,0,1,0.926913983564602,0.926913983564602,1.03997550949344,1.40653619007461,1.02781902887106,1.20234741984292
1,1,1,1,0,1,1.03528694773839,1.03528694773839,1.21324939585372,1.42223592151417,0.835051732639474,1.03436855529396
1,1,1,1,1,1,0.952798546144308,0.952798546144308,1.11803421638139,1.40017163308686,1.01980004657036,1.19353346600415
1,1,1,1,1,1,1.05270587065119,1.05270587065119,1.14796117316171,1.59408342082657,0.866673526439089,1.08935890332681
1,1,1,1,0,1,1.24175213429232,1.24175213429232,1.40408748642075,1.88311593016444,1.12988010410053,1.33947703551838
0,0,1,1,0,1,0.8587212473532,0.8587212473532,1.043162570274,1.4117651654715,0.847557564760462,1.0363158551404
1,0,1,1,1,1,0.949587907914487,0.949587907914487,1.08365696431721,1.25885450015519,0.851740820026261,1.02815585168606
1,1,1,1,1,1,0.613443802066526,0.613443802066526,0.756047108774017,0.923588030636399,0.754195894721328,0.872726957408196
1,1,1,1,0,1,0.826004959430368,0.826004959430368,0.957626874720362,1.03440359241395,0.763828530529255,0.896685980137913
1,1,1,1,1,1,1.00983252518559,1.00983252518559,1.17563910894102,1.31385772801551,0.942649919055747,1.14760699192326
1,1,1,1,1,1,0.962545834846237,0.962545834846237,1.08644485900377,1.30122496017517,0.778388180575938,0.918195737396379
0,0,1,0,0,1,0.675134875745184,0.675134875745184,0.791452377133532,0.823838814043938,0.700391246355518,0.81525153646593
0,0,0,1,0,1,0.613448585916633,0.613448585916633,0.686709628587296,0.8454876315574,0.662398742779542,0.761773865427077
1,1,1,1,1,1,1.04653298627996,1.04653298627996,1.13897493917358,1.49636584161941,0.995636331342244,1.26610863315261
1,1,1,1,1,1,0.897489725735925,0.897489725735925,1.00807573492492,1.08638173934725,0.798752136089032,0.977197683896606
1,1,1,1,0,1,0.884798784977185,0.884798784977185,1.05473836942376,1.24104426439304,0.747502825420972,0.916693064721213
1,1,1,1,1,1,0.780022034013419,0.780022034013419,0.881847787540759,1.21064188042256,0.902877842319736,1.07652927141163
1,1,1,1,1,1,0.979395390569332,0.979395390569332,1.06802743933358,1.40447099710168,0.738140186639547,0.924829798545459
1,1,1,1,1,1,0.99562308712012,0.99562308712012,1.09751703095503,1.18936424813765,0.886246231548244,1.0819883447994
1,1,1,1,0,1,0.762147569631645,0.762147569631645,0.847663630146464,0.933819656772565,0.66607132727348,0.798280226971323
1,1,1,1,1,1,1.04215187282451,1.0421518728245,1.17591467119579,1.29987182931458,0.932012991400754,1.10656793682077
1,1,1,1,1,1,0.934788051965255,0.934788051965255,1.03228303047861,1.25331789851587,0.899365453488171,1.02894727904377
1,1,1,1,1,1,0.741929888112103,0.741929888112103,0.845495101527428,0.862742767596267,0.789982865142438,0.891818286930106
0,0,0,0,0,0,0.683804499578408,0.683804499578408,0.81568614681851,0.895389522253367,0.724172620737444,0.855661176797429
1,1,1,1,0,1,0.846834259160548,0.846834259160548,0.95588261526273,1.09475752754421,0.843305268630311,1.011689639006
1,1,1,1,1,1,0.805988940153448,0.805988940153448,0.94737169924492,1.17988690860403,0.768165113837452,0.94729377131215
1,1,1,1,0,1,0.854660898363989,0.854660898363989,0.984026332390813,1.38321903989081,0.834278640769679,0.992067280819793
1,1,1,1,0,1,0.806717022315212,0.806717022315212,0.919720645605285,1.05776465761186,0.738585438781189,0.868582384195233
1,1,1,1,1,1,0.991034359941865,0.991034359941865,1.19315618752303,1.48371736485249,0.883947484343276,1.07710490534837
1,1,1,1,1,1,0.781308545977607,0.781308545977607,0.885436985810149,1.15193291089517,0.826758172584564,0.932888103158829
0,0,0,0,0,0,0.693343029287516,0.693343029287516,0.854311240680231,1.0861627240303,0.721039805652326,0.869587767095523
1,1,1,1,1,1,0.718169630135698,0.718169630135698,0.803943992784229,0.926936365884984,0.634915945070199,0.736083080645663
1,0,0,1,1,1,1.07816308887838,1.07816308887838,1.32994314403938,1.28637288354436,0.947265309310568,1.13620444868596
1,1,1,1,1,1,0.668556250090525,0.668556250090525,0.771132737329075,0.93631076429507,0.709672972160901,0.829227465423064
0,0,0,0,0,1,0.604466176647025,0.604466176647025,0.688660270844993,0.761356008355631,0.625546327003113,0.703751076108501
1,0,0,1,1,1,0.883345509897755,0.883345509897755,0.985415365004688,1.38640008481342,0.815970481506016,0.961085467787563
1,0,0,1,1,1,0.65553721620619,0.65553721620619,0.739506353157449,0.969786714230865,0.832307049195041,0.936712596378917
1,1,1,1,1,1,0.818711619484178,0.818711619484178,0.940971854299468,1.10804199005105,0.794378669127782,0.952812294909317
0,0,1,1,0,1,0.862239800139537,0.862239800139537,1.02850105059687,1.22584621849158,0.723207578248806,0.926827112757652
1,1,1,1,1,1,0.889550300314768,0.889550300314768,1.05252503976275,1.51647996393877,0.863414482618365,1.04503161892302
1,1,1,1,1,1,0.951488930325506,0.951488930325506,1.15747057884201,1.47623864619937,0.895038992565574,1.09093954730193
1,1,1,1,1,1,0.986058159551622,0.986058159551622,1.14713179655746,1.41050099623658,0.875365174834644,1.01477930524162
1,1,1,1,1,1,0.996112561879688,0.996112561879688,1.19640274190447,1.42330847466477,0.960977940712887,1.13297608946155
1,1,1,1,0,1,0.685296402962306,0.685296402962306,0.747965672573891,0.95932078344328,0.79726015196374,0.952963246356824
1,1,1,1,1,1,0.763844428755815,0.763844428755815,0.930192786266903,1.27740064537715,0.71242386929216,0.835174445565737
1,1,1,1,1,1,0.71588353609123,0.71588353609123,0.818972065842352,1.01241321263368,0.839933618579573,0.997776340781893
1,1,1,1,1,1,1.12561707962961,1.12561707962961,1.32357047960999,1.66582553228065,0.833467365873196,1.004839497254
1,1,1,1,1,1,0.723213378115036,0.723213378115037,0.82881911191778,0.90313755620951,0.684578772550747,0.787916019360437
1,1,1,1,1,1,0.916665997146638,0.916665997146638,1.07657498858305,1.41822997085918,0.966594849795538,1.14931753526399
1,1,1,1,1,1,0.805643665650609,0.805643665650608,0.88141419019381,1.07611951670882,0.753921914188098,0.918354842114087
1,1,1,1,0,1,0.84033746382492,0.84033746382492,1.01593149220773,1.25874211215395,0.670997516051581,0.792968283599085
1,1,1,1,1,1,0.74281811900374,0.74281811900374,0.793860373722536,1.08757448779657,0.732524284474608,0.882166915480065
1,1,1,1,1,1,0.870700939117642,0.870700939117642,1.03604682450791,1.24475490881215,0.82115365302362,1.00038268219939
1,1,1,1,1,1,0.792837420349464,0.792837420349464,0.89453685133234,1.01503884932559,0.771976809847512,0.904396893179525
0,0,0,0,0,0,0.569241907408828,0.569241907408828,0.669680146944741,0.838078537274208,0.701555431269269,0.786483429340694
1,1,1,1,1,1,0.791318649679154,0.791318649679154,0.916207270040835,1.06905668010423,0.792520786652251,0.917182610610154
1,1,1,1,1,1,0.688557886192364,0.688557886192364,0.774403138465678,0.947693585729368,0.773061825507628,0.866076950526734
1,1,1,1,1,1,0.705113283535119,0.70511328353512,0.811689563903813,1.03396716318624,0.678838865421586,0.818906312208708
1,1,1,1,1,1,0.99064217650821,0.99064217650821,1.10389833988921,1.52052141638086,0.81229930613677,1.01559953864735
1,1,1,1,1,1,0.790377500901506,0.790377500901506,0.886828607453619,1.07112004463194,0.819811432756147,0.931132983589166
1,1,1,1,1,1,0.943568437238021,0.943568437238021,1.07127559438793,1.35746856093257,0.83256190939852,1.00659189726548
1,1,1,1,1,1,0.633548492637248,0.633548492637248,0.735480615380477,0.779507582535101,0.717205554036314,0.819217844691285
1,1,1,1,1,1,0.969987254915687,0.969987254915687,1.11411576820627,1.18905687181854,0.7788715600434,0.917162480814666
1,1,1,1,1,1,0.66821646551711,0.66821646551711,0.755575185912831,0.924851117373763,0.711304625078405,0.833820634414509
1,1,1,1,1,1,0.728744372811135,0.728744372811135,0.816894538021125,1.0415598547092,0.705693925391592,0.80279914371707
1,1,1,1,1,1,0.969694494803799,0.969694494803798,1.0927258259928,1.12585369764222,0.977564252928047,1.14889293043069
1,1,1,1,1,1,0.803767242237158,0.803767242237158,0.861298755720108,1.03540970055456,0.812788611608805,0.961418368942483
1,1,1,1,1,1,1.02497737056339,1.02497737056339,1.23368207439465,1.27176001248365,0.875873218186947,1.04620204046498
1,1,1,1,1,1,0.755076725026337,0.755076725026336,0.833243715106204,0.963305967894275,0.768352990433387,0.916997441448366
1,1,1,1,1,1,1.33409235961792,1.33409235961792,1.47677775127473,1.74923703776296,1.12430493206276,1.4385618980504
0,1,1,1,0,0,0.738049319699871,0.738049319699871,0.818234814403436,1.16384738639859,0.72482630442902,0.874884730947388
1,1,1,1,1,1,0.871615129945718,0.871615129945718,0.988242283598261,1.40426451993663,0.774030661944415,0.977810413477114
1,0,1,1,1,1,0.688353333528453,0.688353333528454,0.774891723624995,0.959065052748384,0.772611999200047,0.927094728604271
0,0,0,0,1,0,0.634049828585123,0.634049828585123,0.705523376599807,0.899072611749197,0.671948170826312,0.773321208189216
1,1,1,1,0,1,0.703428549704463,0.703428549704463,0.790675202801661,1.09241187122568,0.792083037576962,0.931051994979454
1,1,1,1,0,1,0.69818397862304,0.69818397862304,0.790191954071224,0.941383374514119,0.656197269860005,0.782188489665394
0,0,0,1,0,0,0.887433104663881,0.887433104663881,1.06588325062993,1.20876728029098,0.725379273321842,0.889983339563484
1,1,1,1,0,1,0.831276782709527,0.831276782709528,0.954643018415622,1.14069067779787,0.82003424749103,0.954885720568225
1,1,1,1,1,1,0.886557343327041,0.886557343327041,1.00771505564932,1.09639394745393,0.8829134192494,1.06759119413776
1,1,1,1,1,1,0.819605273095728,0.819605273095728,0.926156191021197,0.996144616294899,0.743701655575606,0.916386962448145
1,1,1,1,1,1,1.18137938110661,1.18137938110661,1.387687479612,1.56838001668934,0.843622813763842,0.998895505555141
1,1,1,1,1,1,0.706111242788391,0.706111242788391,0.798158229876094,0.989461999795382,0.810380978864648,0.96304518440362
1,1,1,1,0,0,1.15990942420091,1.15990942420091,1.33183768389834,1.50883076212694,0.869254146544253,1.06308896075965
0,1,1,1,0,1,0.6502021295798,0.6502021295798,0.745355573970936,0.841142095495554,0.663981044276498,0.789730671762754
1,1,1,1,1,1,0.730179288869249,0.730179288869249,0.827482824515138,0.882393938790061,0.760344465025003,0.88758922275436
1,1,1,1,1,1,0.961657847516296,0.961657847516296,1.09814501375463,1.43479401890862,0.882888554095768,1.01655249734658
1,1,1,1,1,1,0.835014766398397,0.835014766398397,1.03493552941766,1.25833570572437,0.850873883964426,1.03766904950337
1,1,1,1,0,1,0.700300804664634,0.700300804664634,0.767365868836539,0.883515590881916,0.719635477298901,0.845449754720888
1,1,1,1,1,1,0.61740155587327,0.617401555873271,0.688020661240363,0.919431324281694,0.606358057995186,0.721382920989002
1,1,1,1,1,1,0.763304483055101,0.763304483055101,0.861590194114044,0.985040710316104,0.743484303371325,0.853756386558773
1,1,1,1,1,1,0.800083455216624,0.800083455216624,0.934302702774932,1.13031833110382,0.777829791062925,0.921400631319602
1,1,1,1,0,1,0.983487285371852,0.983487285371852,1.15913236050813,1.42946582185754,0.817429765900861,0.948382158051475
1,1,1,1,1,1,1.08277041138768,1.08277041138768,1.26159061954861,1.48875303609237,1.03349670362139,1.22694231622629
1,1,1,1,1,1,0.869857609887212,0.869857609887212,0.975275609313879,1.24489179094419,0.838967873924413,1.01380682439745
1,1,1,1,0,1,0.76720906698109,0.76720906698109,0.976207022960969,1.20389372800101,0.751351017607279,0.90094580214419
1,1,1,1,1,1,0.788143066483191,0.788143066483191,0.901259248373766,1.16435387670967,0.817417642139889,0.938437099013535
1,1,1,1,1,1,0.950555487053658,0.950555487053658,1.08427368085044,1.20811267023172,0.99932606602521,1.18855451278491
1,1,1,1,1,1,1.17692335957433,1.17692335957433,1.40459433040927,1.55493479284225,0.832454264892074,1.04814691097772
1,1,1,1,1,1,0.806288296327261,0.806288296327261,0.915400594860559,1.17497234624352,0.906298445156916,1.08955848410509
1,1,1,1,1,1,0.695984005445508,0.695984005445508,0.790491206369463,0.88602328055692,0.703922845270767,0.82823673976098
0,0,1,1,0,1,0.695280288518116,0.695280288518116,0.829227797313481,1.26836824825385,0.738244227560246,0.900744932343148
1,1,1,1,0,1,0.68904092046903,0.68904092046903,0.792133999218754,0.855146181598015,0.644396642951728,0.757346434693164
1,1,1,1,1,1,1.19928000875182,1.19928000875182,1.38431723387717,1.6921073101088,0.835735008950976,1.02644154244841
1,1,1,1,1,1,1.23376586185627,1.23376586185627,1.37867716106733,1.41687609274544,1.0009426460341,1.22293152530689
0,0,0,0,0,0,0.701329977773379,0.701329977773379,0.815453124853932,0.91828049079711,0.698020902551435,0.81159855477361
1,1,1,1,1,1,0.665438441909626,0.665438441909626,0.736399403295126,0.924006112589112,0.674672945018059,0.770811421087977
1,1,1,1,1,1,0.750327499166083,0.750327499166083,0.854275662125962,0.899243395339473,0.740705564708978,0.826780627680424
1,1,1,1,1,1,0.766530683631639,0.766530683631639,0.911404940093155,1.45118589118163,0.810239989506507,0.983653939577389
1,1,1,1,1,1,0.872281551361248,0.872281551361248,0.990619366298218,1.28365856447277,0.859179830482956,1.0327480747116
1,1,1,1,1,1,0.710119735247758,0.710119735247758,0.824149143517,1.03324245681712,0.734056187319362,0.868811599424034
1,1,1,1,1,1,0.860302549551939,0.860302549551939,1.05274069853919,1.55971912147507,0.987736036780532,1.13521648098455
1,1,1,1,0,1,0.799649336561166,0.799649336561166,0.947027079255656,1.02952417537595,0.746417026379327,0.908517284296448
1,1,1,1,0,1,0.956032613262345,0.956032613262345,1.12103529872992,1.05407124060379,0.733134525608991,0.877138097638336
1,1,1,1,1,1,0.906666932696431,0.906666932696431,1.00203272014309,1.27830193124911,0.806930823336852,0.96245812153235
1,1,1,1,1,1,1.3579738151916,1.3579738151916,1.62741910734854,3.20147882585854,1.08240083617932,1.35802680806462
1,1,1,1,1,1,0.762463302060492,0.762463302060492,0.848292329849867,1.06560076527232,0.747559740524147,0.88187240768537
1,1,1,1,1,1,1.11775042767982,1.11775042767982,1.27713601117943,1.35996483324163,0.828177082638734,1.00224574919536
1,1,1,1,1,1,1.01074936729176,1.01074936729176,1.14319315173677,1.55180466120985,0.876586630681817,1.0366832240571
1,1,1,1,1,1,0.751629177684698,0.751629177684698,0.843590869609342,0.954719016930867,0.755354937066021,0.861667330202235
1,1,1,1,0,1,0.553237539905344,0.553237539905344,0.656377625855566,0.836010976671187,0.645218852785431,0.753726038731459
1,1,1,1,0,1,0.915997343411592,0.915997343411592,1.03167393907603,1.27745416949639,0.739903081734068,0.892774819277004
1,1,1,1,1,1,0.921504269006618,0.921504269006618,1.02069815470064,1.26702607400317,0.866269371516992,1.05289024779127
1,1,1,1,0,0,0.791373334584212,0.791373334584212,0.891336940406396,0.913042767301055,0.686957645693412,0.81255070059055
1,1,1,1,0,1,1.00081438102341,1.00081438102341,1.13030682385934,1.31158966681661,0.859042139689537,1.01167949433932
1,1,1,1,1,1,0.74808665582291,0.74808665582291,0.859726644958082,1.0520049586157,0.850912651033399,0.991079143640417
1,1,1,1,1,1,0.622857887209405,0.622857887209405,0.737208050246023,0.707310743738317,0.656461960991215,0.768096977964425
1,1,1,1,0,1,0.939871556938446,0.939871556938446,1.08581284607722,1.37149432580001,0.80740885576399,0.971104228063863
1,1,1,1,0,1,0.798386046962167,0.798386046962167,0.952217514935787,1.16333514113299,0.732093175658811,0.896096881280855
1,1,1,1,1,1,0.764747466380761,0.764747466380761,0.91585697896089,1.10015637500011,0.772297926391379,0.903480372791126
1,1,1,1,1,1,0.924916185941797,0.924916185941797,1.00498687164555,1.45487474025019,0.773036276333825,0.970317750304247
1,1,1,1,1,1,0.83418631531331,0.83418631531331,0.965585117654141,1.24458370790993,0.845031186113061,0.988617515965198
1,0,1,1,1,1,0.715411226995633,0.715411226995633,0.810741184809054,1.1036350618896,0.873031574338714,1.0121418348531
1,1,1,1,0,1,0.760029902774368,0.760029902774368,0.85286834493196,1.1442062250023,0.712351482508925,0.855653235434819
1,1,1,1,1,1,0.889468817909052,0.889468817909052,1.04959624180201,1.23463902634883,0.821896249478901,0.995560920762049
1,1,1,1,1,1,0.749171974052331,0.749171974052331,0.852698172544306,0.884078613622886,0.691490074295465,0.800225926670153
1,1,1,1,0,1,0.802851030688979,0.802851030688979,0.938981637436891,1.14400582731536,0.723789536998449,0.898833581232453
1,1,1,1,1,1,0.751494634858086,0.751494634858087,0.895901529951333,1.08907717246255,0.734685144770953,0.892196221336436
1,1,1,1,1,1,0.824923400520873,0.824923400520873,0.952717740324421,1.23398145184734,0.785593894023121,0.936564235444878
1,1,1,1,1,1,0.902968981332431,0.902968981332431,1.08244487822502,0.979827160481383,0.865275606859856,0.998685343696529
0,0,0,0,0,0,0.903407895678463,0.903407895678463,1.04851248644854,1.18289881387048,0.795400250521071,0.953713637304419
1,1,1,1,1,1,0.851548310747188,0.851548310747188,0.992645461857039,1.45903183556105,0.741238611838062,0.888799696141257
1,1,1,1,1,1,0.804120506852149,0.804120506852149,0.894592017350118,1.11507518770803,0.815993547451526,1.00720055577526
1,1,1,1,1,1,0.76277765235169,0.76277765235169,0.914305580875543,0.975754331705894,0.801788750588957,0.978220713139
1,1,1,1,1,1,0.619359499929614,0.619359499929615,0.704619746323717,0.797529337448165,0.693202984453705,0.798819189808903
