"Conventional","Bias.Corrected","Robust","X","X.1","X.2","X.3","X.4","X.5","Conventional.1","Bias.Corrected.1","Robust.1","X.6","X.7","X.8","X.9","X.10","X.11"
1,1,1,1,1,1,1,1,1,0.0642906708751845,0.0642906708751845,0.0772657831469392,0.0978147027458799,0.0666808179502903,0.101744380123176,0.0715397720299884,0.0785094966013634,0.074336079703953
1,1,1,1,1,1,1,1,1,0.0684076398954863,0.0684076398954863,0.083522195917923,0.0999789852360393,0.0644339828953151,0.0847342804626853,0.0761209503122733,0.0747296902340132,0.0772802931619642
1,1,1,1,1,1,1,1,1,0.0570123899163341,0.0570123899163341,0.0694017544512059,0.104390647443802,0.0663009346068625,0.0934566911504532,0.0634408277589411,0.0792074528390369,0.0746263543113152
1,1,1,1,1,1,1,1,1,0.0678372146211146,0.0678372146211146,0.0813817287084105,0.11376275921765,0.060844792817374,0.0871840303055461,0.0754862066778831,0.0714861952892206,0.0772975167853999
1,1,1,1,1,1,1,1,1,0.0715014982525635,0.0715014982525635,0.0826221710793472,0.0863425683373191,0.0664991176628644,0.0958353168189705,0.0795636569841026,0.0808906922255067,0.0726282650414966
1,1,1,1,1,1,1,1,1,0.0678775688225313,0.0678775688225313,0.0816005887284689,0.126983112716977,0.0677534767629795,0.0859470231583213,0.0755311110213983,0.0805760974051753,0.0771939256151063
1,1,1,1,1,1,1,1,1,0.0757799633118542,0.0757799633118542,0.0885018706024702,0.105350166357116,0.0693334368824443,0.102617509145411,0.0843245408077316,0.0828264333894269,0.0775827095714736
1,1,1,1,1,1,1,1,1,0.0761549924497974,0.0761549924497974,0.090258043201504,0.086946030580337,0.0675506344867004,0.0879347128418604,0.0847418563943919,0.078466730755195,0.0778260644941543
1,1,1,1,1,1,1,1,1,0.0745446291856952,0.0745446291856952,0.0888621478997912,0.100771537789379,0.066525112398616,0.0845218789198231,0.0829499164561231,0.0800546100139788,0.0747801167908177
1,1,1,1,1,1,1,1,1,0.0723771103877159,0.0723771103877159,0.0849969794572029,0.113519634642306,0.0604361048895901,0.0839232402223221,0.0805379988549022,0.0745259855770298,0.0722663067819866
1,1,1,1,1,1,1,1,1,0.0664818167265849,0.0664818167265849,0.0805777438032354,0.0858176748106086,0.0646776222127585,0.0840728169193241,0.0739779807554498,0.0781463353514323,0.0745585001319613
1,1,1,1,1,1,1,1,1,0.0606065028228381,0.0606065028228381,0.0744193387778885,0.121029554012624,0.0624859796373405,0.0871894833355473,0.0674401952329643,0.0749483763075368,0.0685504064601194
1,1,1,1,1,1,1,1,1,0.0567846527922408,0.0567846527922408,0.0687587650213385,0.0832860075491263,0.0682145271069912,0.094581242416502,0.0631874121121822,0.0787115598246062,0.0733507894618521
1,1,1,1,1,1,1,1,1,0.0698391700633268,0.0698391700633268,0.0831824398918287,0.118197335024846,0.0665841087674285,0.0917765011139482,0.0777138928102632,0.0798993073030613,0.0766781670683059
1,1,1,1,1,1,1,1,1,0.0627511095292484,0.0627511095292484,0.0771328920382943,0.0904555194915382,0.0636687122807512,0.078772414622991,0.0698266172873932,0.0759603446159726,0.0771423063449361
1,1,1,1,1,1,1,1,1,0.0599093632385656,0.0599093632385656,0.0727229268380753,0.0994136336301097,0.0655233566653642,0.0840615839651797,0.0666644496037304,0.0736129619910463,0.0741116531187948
0,0,0,1,0,0,0,0,1,0.0815720981178109,0.0815720981178109,0.0952307845484172,0.121119926244465,0.0692330398902371,0.0962532836104467,0.0907697683647681,0.083600657415208,0.0758602803504788
1,1,1,1,1,1,1,1,1,0.0747257316114294,0.0747257316114294,0.0868277127943507,0.103565667576121,0.0682566564527125,0.0839356658275337,0.0831514391043507,0.081678028590823,0.0741956107565375
0,0,0,0,1,0,0,1,1,0.0795798827491541,0.0795798827491541,0.0890333842014203,0.0975744543560481,0.0689677343380182,0.101835240948448,0.0885529205489311,0.0824616272671558,0.0709135998449316
1,1,1,1,0,1,1,1,1,0.0762996103789953,0.0762996103789952,0.0921448505262623,0.117781053119962,0.0643526002467972,0.0955355401056278,0.0849027807329534,0.0780025307504883,0.0785292732875265
1,1,1,1,1,1,1,1,1,0.0598907366733092,0.0598907366733092,0.0732507887081746,0.0928212547139634,0.0581587504413419,0.0823999078617087,0.0666437227982078,0.0675895555413357,0.0775639232276675
1,1,1,1,1,1,1,1,1,0.0625359979752574,0.0625359979752574,0.0766541328291066,0.117574522424739,0.0599373402843072,0.0869261075073872,0.0695872508081819,0.0730880367813604,0.0760508737105198
1,1,1,1,1,1,1,1,1,0.0677183064155822,0.0677183064155822,0.0829547112690445,0.0822099412098573,0.0631585099802123,0.0944731095512024,0.0753538909655025,0.0752776522719197,0.0715756519971295
0,0,1,1,0,1,1,0,1,0.0600039614034343,0.0600039614034343,0.0733214364153367,0.0883244397352117,0.0588422956783211,0.0832739686963134,0.0667697141943317,0.0694278816509858,0.0736818387918399
1,1,1,1,1,1,1,1,1,0.0577254891134459,0.0577254891134459,0.0693679234534411,0.139533875698875,0.0650479790731675,0.0849146960691535,0.0642343325287885,0.077276492099326,0.0740360797528599
1,1,1,1,1,1,1,1,1,0.0746521775970864,0.0746521775970864,0.0857660864323558,0.12405371943842,0.0667419524008227,0.0847226029456331,0.083069591499615,0.0789319903865445,0.0758162838395512
1,1,1,1,1,1,1,1,1,0.0673489797185721,0.0673489797185721,0.080527710042701,0.0709190502253635,0.061064436962154,0.097218194947405,0.0749429207990846,0.0740070297492694,0.07070660321586
1,1,1,1,1,1,1,1,1,0.0756161324451933,0.0756161324451933,0.0895677130373339,0.100317432542386,0.0675204706238108,0.0875900857848863,0.084142237174983,0.0747164545021236,0.0770505803276521
1,1,1,1,1,1,1,1,1,0.0608824170664916,0.0608824170664916,0.0748167579519976,0.123383615850088,0.064582787085015,0.0816317452873181,0.0677472202153154,0.0817381205396817,0.071921954536867
1,1,1,1,1,1,1,1,1,0.0666027567862298,0.0666027567862298,0.0807969554388457,0.102027676452849,0.0647477558320564,0.0923929027175785,0.0741125574238608,0.0773459413760371,0.0745299136649576
1,1,1,1,1,1,1,1,1,0.0663300374234345,0.0663300374234345,0.0809024492315982,0.0967180129329469,0.0682790579818459,0.0821649293061132,0.0738090875614851,0.0817548441135759,0.0772318619734552
1,1,1,1,1,1,1,1,1,0.064233043054334,0.064233043054334,0.0786444304307505,0.102993834740377,0.0661550746479242,0.082838271278249,0.0714756463783176,0.077764798487305,0.072599694382912
1,0,1,1,1,1,1,1,1,0.0897782182304235,0.0897782182304235,0.101212906845509,0.0781883884870202,0.0639180489756862,0.101147353088762,0.0999011703880376,0.0765171315626741,0.0755198532901509
1,1,1,1,1,1,1,1,1,0.0737593579994721,0.0737593579994721,0.0829948604589113,0.122799335248272,0.0680448572371896,0.0957700615906243,0.0820761019371677,0.0842409111156088,0.0732206892767359
1,1,1,1,1,1,1,1,1,0.0569424063708156,0.0569424063708156,0.0653980159311316,0.105598580620897,0.0618527018831986,0.0957199923544046,0.0633629532116066,0.0682275482652245,0.074911792876592
1,1,1,1,1,1,1,1,1,0.0744465976741595,0.0744465976741595,0.0859117877636003,0.115727648244564,0.0629566245407718,0.0990175107254243,0.0828408313915009,0.0732202671607096,0.072757673079996
1,1,1,1,1,1,1,1,1,0.0741091148068319,0.0741091148068319,0.087532127272029,0.147709572593588,0.0674032796843483,0.0835833724090189,0.0824652956090308,0.0786832810566053,0.0750530801557331
1,1,1,1,1,1,1,1,1,0.0678749493664494,0.0678749493664494,0.0809351746921623,0.113009954449717,0.0656418378207104,0.0918379557952009,0.0755281962082787,0.0785227051081002,0.0715503987224189
1,1,1,1,1,1,1,1,1,0.0609646297759033,0.0609646297759033,0.0733019458939648,0.0839505958559565,0.0638145698977685,0.0879492827764446,0.0678387028271659,0.0757319613146368,0.0738238025634995
1,1,1,1,1,1,1,1,1,0.0569533129043913,0.0569533129043913,0.06791532391822,0.089262589021985,0.0678766671104536,0.091681380177273,0.0633750895124884,0.0811330812772555,0.0739549833999501
1,1,1,1,1,1,1,1,1,0.0665238499220217,0.0665238499220217,0.0805167297760214,0.111215706440628,0.0602244037853603,0.0932381710351068,0.0740247534081272,0.0712894307918896,0.0728328220299927
1,1,1,1,1,1,1,1,1,0.0663940434852484,0.0663940434852484,0.0813537303206864,0.0847242237033052,0.0672248840876789,0.0865066173169482,0.07388031063333,0.0804474803419996,0.0753508620765842
