"Conventional","Bias-Corrected","Robust","","","","","","","Conventional","Bias-Corrected","Robust","","","","","",""
1,1,1,1,1,1,1,1,1,6.34478050597502,6.34478050597502,7.54604588380738,7.52805940320524,4.77362895785518,9.23093921557705,7.06018687935282,5.50569015263243,7.65789984692745
1,1,1,1,1,1,1,1,1,6.02075341907926,6.02075341907926,7.08331134330531,7.50591970898779,4.72405058976423,8.72037296393199,6.69962408521013,5.80160767330833,7.55096226811035
1,1,1,1,1,1,1,1,1,5.84822791819879,5.84822791819879,6.9952992628741,6.81706036582431,5.273766693165,9.02841781061492,6.50764545387325,5.97417968969168,8.49172358211029
0,0,0,0,1,0,0,0,0,8.26533428173092,8.26533428173092,9.63518265701738,10.1097922373527,4.2907269665672,10.1246134213108,9.19729289206894,6.58338489183835,8.4000438211976
1,1,1,1,1,1,1,1,1,6.75006083965549,6.75006083965549,7.84524250866482,8.31562110542666,5.46148133864395,7.93547606258568,7.51116463841256,5.92307304387216,7.73925122707121
1,1,1,1,1,1,1,1,1,5.5806924224737,5.5806924224737,6.61651176755917,5.59562958859389,5.2244506825649,7.45627569832002,6.20994396602813,5.79317631269398,7.56836000805949
1,1,1,1,1,1,1,1,1,5.66102078086209,5.66102078086209,6.59723528861145,6.84363528899099,5.11185628555595,8.15201070126378,6.29932975666338,5.39049650649477,7.6539323643102
1,1,1,1,1,1,1,1,1,5.12942552650095,5.12942552650095,5.93616361320974,7.06149796759125,4.4752689210411,7.7110104425665,5.70779442515233,6.0099732465562,7.64151834112769
1,1,1,1,1,1,1,1,1,6.60274316710854,6.60274316710854,7.6358793868614,9.4203335134737,4.81212697766772,8.06315905179203,7.34723614666517,5.71270128759203,7.58795420215798
1,1,1,1,1,1,1,1,1,7.44884529744354,7.44884529744354,8.35696604804716,8.04086302199877,5.55443705491534,9.48367193333229,8.28874060904304,6.53950763191691,8.10497977500286
1,1,1,1,1,1,1,1,1,5.78891171710289,5.78891171710289,6.91327253585738,8.2046245065779,5.66462985370513,10.3069655823154,6.4416410484701,6.63261367640437,7.78657916678061
1,1,1,1,1,1,1,1,1,5.90839513442741,5.90839513442741,6.80622368765424,5.9268856694538,4.71802005262452,8.79282478450242,6.57459683070724,5.37499707626632,7.31882347297671
1,1,1,1,1,1,1,1,1,6.69084211912474,6.69084211912474,8.15928006898084,9.24343118618788,5.81010329062142,9.82379823561162,7.44526870500564,6.54423672376547,7.707623653281
