"Conventional","Bias.Corrected","Robust","X","X.1","X.2","X.3","X.4","X.5","Conventional.1","Bias.Corrected.1","Robust.1","X.6","X.7","X.8","X.9","X.10","X.11"
1,1,1,1,1,1,1,1,1,0.0621185438336554,0.0621185438336554,0.0713931022654586,0.107337147162494,0.0560977382174444,0.0669263933704709,0.0691227265822462,0.0662677932025485,0.0851606494235386
1,1,1,1,1,1,1,1,1,0.0604858972428564,0.0604858972428564,0.0685376459997667,0.102589436898091,0.0626161233184158,0.0700706281075561,0.0673059907585051,0.0732957705051404,0.0840166543936132
1,1,1,1,1,1,1,1,1,0.0614912710230169,0.0614912710230169,0.0713688422063915,0.0972419752099617,0.0614273962876555,0.0737216813687627,0.0684247255618366,0.0725299463830203,0.0849352330672511
1,1,1,1,1,1,1,1,1,0.0660088348545717,0.0660088348545717,0.0737328200234066,0.100971948256132,0.0656797995047549,0.0731974065180433,0.0734516677641943,0.0762390742273624,0.0839891396267479
1,1,1,1,1,1,1,1,1,0.0609572431445384,0.0609572431445384,0.0693263195360346,0.0913619784277626,0.0620543242318333,0.0754870262395986,0.0678304833154277,0.0736207566575775,0.084870472203406
1,1,1,1,1,1,1,1,1,0.0611599105827253,0.0611599105827253,0.0704940481315792,0.103807637556714,0.0616470767467266,0.0681224771573222,0.0680560025412877,0.0729974359713008,0.0844011346730027
1,1,1,1,1,1,1,1,1,0.0629770017898372,0.0629770017898372,0.0720025651678503,0.0840353671780535,0.058212229128439,0.0666594835191195,0.070077980052875,0.0688527056179995,0.084126591472026
1,1,1,1,1,1,1,1,1,0.0598208656181221,0.0598208656181221,0.0688476576860329,0.0871647590588835,0.0601852340675783,0.07124885539896,0.0665659734250635,0.0685722738860922,0.0847124629331553
1,1,1,1,1,1,1,1,1,0.0647077857836534,0.0647077857836534,0.0740069868553285,0.0982028057686948,0.0638686134665451,0.0706522907534446,0.0720039187725245,0.0759672676151056,0.0847883606660594
1,1,1,1,1,1,1,1,1,0.0668086508871064,0.0668086508871064,0.0751774218399199,0.0880585180171171,0.0660316260402553,0.0717567966339165,0.0743416671350913,0.0779831939510029,0.0840244373615013
1,1,1,1,1,1,1,1,1,0.0618636751006784,0.0618636751006784,0.0704590793636421,0.0960402588894222,0.0592975405631085,0.0701403918077419,0.0688391200992753,0.0757706568837108,0.0848080618133612
1,1,1,1,1,1,1,1,1,0.0647110732438374,0.0647110732438374,0.0707730958474405,0.0945794864448898,0.0603326169159569,0.0679143634386071,0.0720075769106171,0.0711589458321004,0.0844357626250359
1,1,1,1,1,1,1,1,1,0.0674242259807355,0.0674242259807355,0.0754568746516666,0.107442111068834,0.0629366208570205,0.0719253809862465,0.0750266514612164,0.0792155093814964,0.0840479858925746
1,1,1,1,1,1,1,1,1,0.061469136675644,0.061469136675644,0.0702262469102212,0.0901781669281653,0.059215746358184,0.067450056337129,0.0684000954538672,0.0705350144167426,0.0841174957616765
1,1,1,1,1,1,1,1,1,0.0613624180841331,0.0613624180841331,0.0702199066458946,0.098700853783616,0.0547992103167568,0.0713217247705816,0.0682813437966807,0.0693264382584664,0.0842760045453687
1,1,1,1,1,1,1,1,1,0.0560658708032421,0.0560658708032421,0.0669325811844494,0.0993886371791026,0.0612215400359987,0.0652883238192806,0.0623875837866688,0.0669791254171404,0.0845501312725716
1,1,1,1,1,1,1,1,1,0.0590413142917411,0.0590413142917411,0.0678885958196165,0.0982933692324008,0.0547176030172612,0.0685778294446123,0.0656985237093303,0.0709384263153149,0.0841910693686686
1,1,1,1,1,1,1,1,1,0.0643388516815305,0.0643388516815305,0.0742603471989746,0.107924058377015,0.0672429678493626,0.0728906577203553,0.0715933854680704,0.0746521790094628,0.0843961584979053
1,1,1,1,1,1,1,1,1,0.0574032864379259,0.0574032864379259,0.0694858522409798,0.100880066674869,0.0599995580215835,0.0718399508884203,0.0638757998577124,0.0707235808049411,0.084307026548221
0,1,1,1,1,1,1,1,1,0.053791466545119,0.053791466545119,0.0626224910469974,0.0906082166661686,0.0570111174506889,0.0730631394471151,0.0598567288443391,0.0671920167129828,0.0846475388345625
1,1,1,1,1,1,1,1,1,0.0557970114307893,0.0557970114307893,0.0654068085665238,0.104429921586766,0.0592588561177965,0.076519274658602,0.0620884091482405,0.0719105264755448,0.084251830421998
1,1,1,1,1,1,1,1,1,0.0614744967717749,0.0614744967717749,0.0708511873176685,0.0886766205631136,0.0610726385506433,0.0663813199624815,0.0684060599281842,0.0719830940997644,0.0842548078968089
1,1,1,1,1,1,1,1,1,0.0680258876041088,0.0680258876041088,0.0786259479442071,0.107748024344943,0.066848728649819,0.072160094631909,0.0756961535023272,0.079802013233215,0.0844601660901986
1,1,1,1,1,1,1,1,1,0.0554564227171638,0.0554564227171638,0.0667165613169004,0.0887619405062049,0.0623230642120451,0.0640226511925521,0.0617094173194562,0.0740750347037934,0.0847700125131309
1,1,1,1,1,1,1,1,1,0.0548965128084355,0.0548965128084355,0.0644918170527454,0.0902864616863226,0.0624180042003286,0.0722114484575648,0.0610863747118356,0.0724568335643596,0.0849710761711185
1,1,1,1,1,1,1,1,1,0.0549345441396803,0.0549345441396803,0.0662695437961963,0.103611749388047,0.0524293453333542,0.0757589751176647,0.0611286942697157,0.0692901260040415,0.0841196143616669
1,1,1,1,1,1,1,1,1,0.0569885103311656,0.0569885103311656,0.0654400213264975,0.0924838679562995,0.055547608300426,0.0694313158928534,0.0634142556287103,0.0599871350199596,0.0843132452010605
1,1,1,1,1,1,1,1,1,0.0584120443796816,0.0584120443796816,0.06608261191288,0.0919820799699323,0.0589654228156296,0.0675599500321296,0.0649983004041253,0.0691586574872523,0.084706135476025
1,1,1,1,1,1,1,1,1,0.0632224645673729,0.0632224645673729,0.0714011593484767,0.0908181291994494,0.0525377821426156,0.0702446442796805,0.0703511200109389,0.0679672978762761,0.0845377792064561
